state,district,block,year,preMonsoonLevel_m,postMonsoonLevel_m,recharge_MCM,extraction_MCM,status,aquiferType,qualityIndex,notes_en,notes_hi
Rajasthan,Jaipur,Block-B,2024,1.267,8.297,37.4,-14.5,Safe,54,182844,"Block-B, Jaipur - 2024 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt.","Block-B, Jaipur - 2024 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt."
Madhya Pradesh,Indore,Block-C,2019,8.297,2.225,80.14,-12.1,Critical,41,112372,"Block-C, Indore - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial.","Block-C, Indore - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial."
Madhya Pradesh,Indore,Block-C,2020,2.225,8.406,78.23,-5.9,Critical,34,112372,"Block-C, Indore - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial.","Block-C, Indore - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial."
Madhya Pradesh,Indore,Block-C,2021,8.406,8.433,78.28,-13.1,Critical,65,112372,"Block-C, Indore - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial.","Block-C, Indore - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial."
Madhya Pradesh,Indore,Block-C,2022,8.433,8.8,75.27,-14.1,Critical,94,112372,"Block-C, Indore - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial.","Block-C, Indore - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial."
Madhya Pradesh,Indore,Block-C,2023,8.8,8.754,76.46,-8.4,Critical,25,112372,"Block-C, Indore - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial.","Block-C, Indore - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial."
Madhya Pradesh,Indore,Block-C,2024,8.754,7.458,79.59,-22.1,Critical,77,112372,"Block-C, Indore - 2024 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial.","Block-C, Indore - 2024 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial."
Karnataka,Bengaluru,Block-D,2019,7.458,7.323,78.27,3.5,Critical,39,54492,"Block-D, Bengaluru Urban - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial.","Block-D, Bengaluru Urban - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial."
Karnataka,Bengaluru,Block-D,2020,7.323,7.522,76.03,-12.8,Critical,54,54492,"Block-D, Bengaluru Urban - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial.","Block-D, Bengaluru Urban - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial."
Karnataka,Bengaluru,Block-D,2021,7.522,8.052,71.24,-16,Critical,43,54492,"Block-D, Bengaluru Urban - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial.","Block-D, Bengaluru Urban - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial."
Karnataka,Bengaluru,Block-D,2022,8.052,7.184,86.5,-10,Critical,64,54492,"Block-D, Bengaluru Urban - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial.","Block-D, Bengaluru Urban - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial."
Karnataka,Bengaluru,Block-D,2023,7.184,7.625,76.62,-14.8,Critical,37,54492,"Block-D, Bengaluru Urban - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial.","Block-D, Bengaluru Urban - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial."
Karnataka,Bengaluru,Block-D,2024,7.625,1.366,71.99,-6.1,Critical,66,54492,"Block-D, Bengaluru Urban - 2024 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial.","Block-D, Bengaluru Urban - 2024 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Alluvial."
Karnataka,Coimbatore,Block-E,2019,1.366,2.076,27.93,-1.4,Safe,34,131325,"Block-E, Coimbatore - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt.","Block-E, Coimbatore - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt."
Karnataka,Coimbatore,Block-E,2020,2.076,1.489,23.87,-20.1,Safe,92,131325,"Block-E, Coimbatore - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt.","Block-E, Coimbatore - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt."
Karnataka,Coimbatore,Block-E,2021,1.489,1.681,38.39,-7.59,Safe,26,131325,"Block-E, Coimbatore - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt.","Block-E, Coimbatore - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt."
Karnataka,Coimbatore,Block-E,2022,1.681,2.619,25.18,-24.8,Safe,30,131325,"Block-E, Coimbatore - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt.","Block-E, Coimbatore - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt."
Karnataka,Coimbatore,Block-E,2023,2.619,7.315,25.06,-20,Safe,72,131325,"Block-E, Coimbatore - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt.","Block-E, Coimbatore - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt."
Karnataka,Coimbatore,Block-E,2024,7.315,2.711,45.4,-8.4,Safe,30,131325,"Block-E, Coimbatore - 2024 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt.","Block-E, Coimbatore - 2024 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Basalt."
Uttar Pradesh,Lucknow,Block-F,2019,2.711,3.682,62.81,-14.3,Semi-Critical,78,159891,"Block-F, Lucknow - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Coastal.","Block-F, Lucknow - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Coastal."
Uttar Pradesh,Lucknow,Block-F,2020,3.682,3.195,87.54,-14.2,Critical,83,159891,"Block-F, Lucknow - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Coastal.","Block-F, Lucknow - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Coastal."
Uttar Pradesh,Lucknow,Block-F,2021,3.195,2.252,111.8,1.3,Over-Exploited,57,159891,"Block-F, Lucknow - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Coastal.","Block-F, Lucknow - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Coastal."
Uttar Pradesh,Lucknow,Block-F,2022,2.252,2.241,82.07,-3.8,Critical,56,159891,"Block-F, Lucknow - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Coastal.","Block-F, Lucknow - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Coastal."
Uttar Pradesh,Lucknow,Block-F,2023,2.241,1.682,90.51,-6.3,Over-Exploited,48,159891,"Block-F, Lucknow - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Coastal.","Block-F, Lucknow - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Coastal."
Uttar Pradesh,Lucknow,Block-F,2024,1.682,2.147,87.78,-14.6,Critical,49,159891,"Block-F, Lucknow - 2024 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Coastal.","Block-F, Lucknow - 2024 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Coastal."
Gujarat,Ahmedabad,Block-G,2019,2.147,2.431,60.5,-7.2,Semi-Critical,61,143116,"Block-G, Ahmedabad - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Granite.","Block-G, Ahmedabad - 2019 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Granite."
Gujarat,Ahmedabad,Block-G,2020,2.431,1.913,74.55,-3.6,Critical,46,143116,"Block-G, Ahmedabad - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Granite.","Block-G, Ahmedabad - 2020 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Granite."
Gujarat,Ahmedabad,Block-G,2021,1.913,2.196,105.1,-5.7,Over-Exploited,36,143116,"Block-G, Ahmedabad - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Granite.","Block-G, Ahmedabad - 2021 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Granite."
Gujarat,Ahmedabad,Block-G,2022,2.196,9.552,89.52,-4,Critical,72,143116,"Block-G, Ahmedabad - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Granite.","Block-G, Ahmedabad - 2022 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Granite."
Gujarat,Ahmedabad,Block-G,2023,9.552,7.715,71.44,-1.8,Critical,30,143116,"Block-G, Ahmedabad - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Granite.","Block-G, Ahmedabad - 2023 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Granite."
Gujarat,Ahmedabad,Block-G,2024,7.715,9.834,108.94,-0.5,Over-Exploited,86,143116,"Block-G, Ahmedabad - 2024 अमृतसर अमृतसर अमृतसर अमृतसर अमृतसर आम अबाबाम आमम आमममम: Granite.","Block-G, Ahmedabad - 2024 अमृतसर अमृtसर अमृतसर अमृtसर अमृतसर आम अबाबाम आमम आमममम: Granite."
